Emoji,Unicode,Description
👩🏼‍🏫,U+1F469 U+1F3FC U+200D U+1F3EB,:woman_teacher_medium-light_skin_tone:
🧑🏼‍🏫,U+1F9D1 U+1F3FC U+200D U+1F3EB,:teacher_medium-light_skin_tone:
👨🏼‍🏫,U+1F468 U+1F3FC U+200D U+1F3EB,:man_teacher_medium-light_skin_tone:
👩🏼‍🏭,U+1F469 U+1F3FC U+200D U+1F3ED,:woman_factory_worker_medium-light_skin_tone:
🧑🏼‍🏭,U+1F9D1 U+1F3FC U+200D U+1F3ED,:factory_worker_medium-light_skin_tone:
👨🏼‍🏭,U+1F468 U+1F3FC U+200D U+1F3ED,:man_factory_worker_medium-light_skin_tone:
👩🏼‍💻,U+1F469 U+1F3FC U+200D U+1F4BB,:woman_technologist_medium-light_skin_tone:
🧑🏼‍💻,U+1F9D1 U+1F3FC U+200D U+1F4BB,:technologist_medium-light_skin_tone:
👨🏼‍💻,U+1F468 U+1F3FC U+200D U+1F4BB,:man_technologist_medium-light_skin_tone:
👩🏼‍💼,U+1F469 U+1F3FC U+200D U+1F4BC,:woman_office_worker_medium-light_skin_tone:
🧑🏼‍💼,U+1F9D1 U+1F3FC U+200D U+1F4BC,:office_worker_medium-light_skin_tone:
👨🏼‍💼,U+1F468 U+1F3FC U+200D U+1F4BC,:man_office_worker_medium-light_skin_tone:
👩🏼‍🔧,U+1F469 U+1F3FC U+200D U+1F527,:woman_mechanic_medium-light_skin_tone:
🧑🏼‍🔧,U+1F9D1 U+1F3FC U+200D U+1F527,:mechanic_medium-light_skin_tone:
👨🏼‍🔧,U+1F468 U+1F3FC U+200D U+1F527,:man_mechanic_medium-light_skin_tone:
👩🏼‍🔬,U+1F469 U+1F3FC U+200D U+1F52C,:woman_scientist_medium-light_skin_tone:
🧑🏼‍🔬,U+1F9D1 U+1F3FC U+200D U+1F52C,:scientist_medium-light_skin_tone:
👨🏼‍🔬,U+1F468 U+1F3FC U+200D U+1F52C,:man_scientist_medium-light_skin_tone:
👩🏼‍🎨,U+1F469 U+1F3FC U+200D U+1F3A8,:woman_artist_medium-light_skin_tone:
🧑🏼‍🎨,U+1F9D1 U+1F3FC U+200D U+1F3A8,:artist_medium-light_skin_tone:
👨🏼‍🎨,U+1F468 U+1F3FC U+200D U+1F3A8,:man_artist_medium-light_skin_tone:
👩🏼‍🚒,U+1F469 U+1F3FC U+200D U+1F692,:woman_firefighter_medium-light_skin_tone:
🧑🏼‍🚒,U+1F9D1 U+1F3FC U+200D U+1F692,:firefighter_medium-light_skin_tone:
👨🏼‍🚒,U+1F468 U+1F3FC U+200D U+1F692,:man_firefighter_medium-light_skin_tone:
👩🏼‍✈️,U+1F469 U+1F3FC U+200D U+2708 U+FE0F,:woman_pilot_medium-light_skin_tone:
🧑🏼‍✈️,U+1F9D1 U+1F3FC U+200D U+2708 U+FE0F,:pilot_medium-light_skin_tone:
👨🏼‍✈️,U+1F468 U+1F3FC U+200D U+2708 U+FE0F,:man_pilot_medium-light_skin_tone:
👩🏼‍🚀,U+1F469 U+1F3FC U+200D U+1F680,:woman_astronaut_medium-light_skin_tone:
🧑🏼‍🚀,U+1F9D1 U+1F3FC U+200D U+1F680,:astronaut_medium-light_skin_tone:
👨🏼‍🚀,U+1F468 U+1F3FC U+200D U+1F680,:man_astronaut_medium-light_skin_tone:
👩🏼‍⚖️,U+1F469 U+1F3FC U+200D U+2696 U+FE0F,:woman_judge_medium-light_skin_tone:
🧑🏼‍⚖️,U+1F9D1 U+1F3FC U+200D U+2696 U+FE0F,:judge_medium-light_skin_tone:
👨🏼‍⚖️,U+1F468 U+1F3FC U+200D U+2696 U+FE0F,:man_judge_medium-light_skin_tone:
👰🏼‍♀️,U+1F470 U+1F3FC U+200D U+2640 U+FE0F,:woman_with_veil_medium-light_skin_tone:
👰🏼,U+1F470 U+1F3FC,:person_with_veil_medium-light_skin_tone:
👰🏼‍♂️,U+1F470 U+1F3FC U+200D U+2642 U+FE0F,:man_with_veil_medium-light_skin_tone:
🤵🏼‍♀️,U+1F935 U+1F3FC U+200D U+2640 U+FE0F,:woman_in_tuxedo_medium-light_skin_tone:
🤵🏼,U+1F935 U+1F3FC,:person_in_tuxedo_medium-light_skin_tone:
🤵🏼‍♂️,U+1F935 U+1F3FC U+200D U+2642 U+FE0F,:man_in_tuxedo_medium-light_skin_tone:
👸🏼,U+1F478 U+1F3FC,:princess_medium-light_skin_tone:
🫅🏼,U+1FAC5 U+1F3FC,:person_with_crown_medium-light_skin_tone:
🤴🏼,U+1F934 U+1F3FC,:prince_medium-light_skin_tone:
🥷🏼,U+1F977 U+1F3FC,:ninja_medium-light_skin_tone:
🦸🏼‍♀️,U+1F9B8 U+1F3FC U+200D U+2640 U+FE0F,:woman_superhero_medium-light_skin_tone:
🦸🏼,U+1F9B8 U+1F3FC,:superhero_medium-light_skin_tone:
🦸🏼‍♂️,U+1F9B8 U+1F3FC U+200D U+2642 U+FE0F,:man_superhero_medium-light_skin_tone:
🦹🏼‍♀️,U+1F9B9 U+1F3FC U+200D U+2640 U+FE0F,:woman_supervillain_medium-light_skin_tone:
🦹🏼,U+1F9B9 U+1F3FC,:supervillain_medium-light_skin_tone:
🦹🏼‍♂️,U+1F9B9 U+1F3FC U+200D U+2642 U+FE0F,:man_supervillain_medium-light_skin_tone:
🤶🏼,U+1F936 U+1F3FC,:Mrs._Claus_medium-light_skin_tone:
🧑🏼‍🎄,U+1F9D1 U+1F3FC U+200D U+1F384,:mx_claus_medium-light_skin_tone:
🎅🏼,U+1F385 U+1F3FC,:Santa_Claus_medium-light_skin_tone:
🧙🏼‍♀️,U+1F9D9 U+1F3FC U+200D U+2640 U+FE0F,:woman_mage_medium-light_skin_tone:
🧙🏼,U+1F9D9 U+1F3FC,:mage_medium-light_skin_tone:
🧙🏼‍♂️,U+1F9D9 U+1F3FC U+200D U+2642 U+FE0F,:man_mage_medium-light_skin_tone:
🧝🏼‍♀️,U+1F9DD U+1F3FC U+200D U+2640 U+FE0F,:woman_elf_medium-light_skin_tone:
🧝🏼,U+1F9DD U+1F3FC,:elf_medium-light_skin_tone:
🧝🏼‍♂️,U+1F9DD U+1F3FC U+200D U+2642 U+FE0F,:man_elf_medium-light_skin_tone:
🧛🏼‍♀️,U+1F9DB U+1F3FC U+200D U+2640 U+FE0F,:woman_vampire_medium-light_skin_tone:
🧛🏼,U+1F9DB U+1F3FC,:vampire_medium-light_skin_tone:
🧛🏼‍♂️,U+1F9DB U+1F3FC U+200D U+2642 U+FE0F,:man_vampire_medium-light_skin_tone:
🧜🏼‍♀️,U+1F9DC U+1F3FC U+200D U+2640 U+FE0F,:mermaid_medium-light_skin_tone:
🧜🏼,U+1F9DC U+1F3FC,:merperson_medium-light_skin_tone:
🧜🏼‍♂️,U+1F9DC U+1F3FC U+200D U+2642 U+FE0F,:merman_medium-light_skin_tone:
🧚🏼‍♀️,U+1F9DA U+1F3FC U+200D U+2640 U+FE0F,:woman_fairy_medium-light_skin_tone:
🧚🏼,U+1F9DA U+1F3FC,:fairy_medium-light_skin_tone:
🧚🏼‍♂️,U+1F9DA U+1F3FC U+200D U+2642 U+FE0F,:man_fairy_medium-light_skin_tone:
👼🏼,U+1F47C U+1F3FC,:baby_angel_medium-light_skin_tone:
🤰🏼,U+1F930 U+1F3FC,:pregnant_woman_medium-light_skin_tone:
🫄🏼,U+1FAC4 U+1F3FC,:pregnant_person_medium-light_skin_tone:
🫃🏼,U+1FAC3 U+1F3FC,:pregnant_man_medium-light_skin_tone:
🤱🏼,U+1F931 U+1F3FC,:breast-feeding_medium-light_skin_tone:
👩🏼‍🍼,U+1F469 U+1F3FC U+200D U+1F37C,:woman_feeding_baby_medium-light_skin_tone:
🧑🏼‍🍼,U+1F9D1 U+1F3FC U+200D U+1F37C,:person_feeding_baby_medium-light_skin_tone:
👨🏼‍🍼,U+1F468 U+1F3FC U+200D U+1F37C,:man_feeding_baby_medium-light_skin_tone:
🙇🏼‍♀️,U+1F647 U+1F3FC U+200D U+2640 U+FE0F,:woman_bowing_medium-light_skin_tone:
🙇🏼,U+1F647 U+1F3FC,:person_bowing_medium-light_skin_tone:
🙇🏼‍♂️,U+1F647 U+1F3FC U+200D U+2642 U+FE0F,:man_bowing_medium-light_skin_tone:
💁🏼‍♀️,U+1F481 U+1F3FC U+200D U+2640 U+FE0F,:woman_tipping_hand_medium-light_skin_tone:
💁🏼,U+1F481 U+1F3FC,:person_tipping_hand_medium-light_skin_tone:
💁🏼‍♂️,U+1F481 U+1F3FC U+200D U+2642 U+FE0F,:man_tipping_hand_medium-light_skin_tone:
🙅🏼‍♀️,U+1F645 U+1F3FC U+200D U+2640 U+FE0F,:woman_gesturing_NO_medium-light_skin_tone:
🙅🏼,U+1F645 U+1F3FC,:person_gesturing_NO_medium-light_skin_tone:
🙅🏼‍♂️,U+1F645 U+1F3FC U+200D U+2642 U+FE0F,:man_gesturing_NO_medium-light_skin_tone:
🙆🏼‍♀️,U+1F646 U+1F3FC U+200D U+2640 U+FE0F,:woman_gesturing_OK_medium-light_skin_tone:
🙆🏼,U+1F646 U+1F3FC,:person_gesturing_OK_medium-light_skin_tone:
🙆🏼‍♂️,U+1F646 U+1F3FC U+200D U+2642 U+FE0F,:man_gesturing_OK_medium-light_skin_tone:
🙋🏼‍♀️,U+1F64B U+1F3FC U+200D U+2640 U+FE0F,:woman_raising_hand_medium-light_skin_tone:
🙋🏼,U+1F64B U+1F3FC,:person_raising_hand_medium-light_skin_tone:
🙋🏼‍♂️,U+1F64B U+1F3FC U+200D U+2642 U+FE0F,:man_raising_hand_medium-light_skin_tone:
🧏🏼‍♀️,U+1F9CF U+1F3FC U+200D U+2640 U+FE0F,:deaf_woman_medium-light_skin_tone:
🧏🏼,U+1F9CF U+1F3FC,:deaf_person_medium-light_skin_tone:
🧏🏼‍♂️,U+1F9CF U+1F3FC U+200D U+2642 U+FE0F,:deaf_man_medium-light_skin_tone:
🤦🏼‍♀️,U+1F926 U+1F3FC U+200D U+2640 U+FE0F,:woman_facepalming_medium-light_skin_tone:
🤦🏼,U+1F926 U+1F3FC,:person_facepalming_medium-light_skin_tone:
🤦🏼‍♂️,U+1F926 U+1F3FC U+200D U+2642 U+FE0F,:man_facepalming_medium-light_skin_tone:
🤷🏼‍♀️,U+1F937 U+1F3FC U+200D U+2640 U+FE0F,:woman_shrugging_medium-light_skin_tone:
🤷🏼,U+1F937 U+1F3FC,:person_shrugging_medium-light_skin_tone:
🤷🏼‍♂️,U+1F937 U+1F3FC U+200D U+2642 U+FE0F,:man_shrugging_medium-light_skin_tone:
🙎🏼‍♀️,U+1F64E U+1F3FC U+200D U+2640 U+FE0F,:woman_pouting_medium-light_skin_tone:
🙎🏼,U+1F64E U+1F3FC,:person_pouting_medium-light_skin_tone:
🙎🏼‍♂️,U+1F64E U+1F3FC U+200D U+2642 U+FE0F,:man_pouting_medium-light_skin_tone:
🙍🏼‍♀️,U+1F64D U+1F3FC U+200D U+2640 U+FE0F,:woman_frowning_medium-light_skin_tone:
🙍🏼,U+1F64D U+1F3FC,:person_frowning_medium-light_skin_tone:
🙍🏼‍♂️,U+1F64D U+1F3FC U+200D U+2642 U+FE0F,:man_frowning_medium-light_skin_tone:
💇🏼‍♀️,U+1F487 U+1F3FC U+200D U+2640 U+FE0F,:woman_getting_haircut_medium-light_skin_tone:
💇🏼,U+1F487 U+1F3FC,:person_getting_haircut_medium-light_skin_tone:
💇🏼‍♂️,U+1F487 U+1F3FC U+200D U+2642 U+FE0F,:man_getting_haircut_medium-light_skin_tone:
💆🏼‍♀️,U+1F486 U+1F3FC U+200D U+2640 U+FE0F,:woman_getting_massage_medium-light_skin_tone:
💆🏼,U+1F486 U+1F3FC,:person_getting_massage_medium-light_skin_tone:
💆🏼‍♂️,U+1F486 U+1F3FC U+200D U+2642 U+FE0F,:man_getting_massage_medium-light_skin_tone:
🧖🏼‍♀️,U+1F9D6 U+1F3FC U+200D U+2640 U+FE0F,:woman_in_steamy_room_medium-light_skin_tone:
🧖🏼,U+1F9D6 U+1F3FC,:person_in_steamy_room_medium-light_skin_tone:
🧖🏼‍♂️,U+1F9D6 U+1F3FC U+200D U+2642 U+FE0F,:man_in_steamy_room_medium-light_skin_tone:
💃🏼,U+1F483 U+1F3FC,:woman_dancing_medium-light_skin_tone:
🕺🏼,U+1F57A U+1F3FC,:man_dancing_medium-light_skin_tone:
🕴🏼,U+1F574 U+1F3FC,:person_in_suit_levitating_medium-light_skin_tone:
👩🏼‍🦽,U+1F469 U+1F3FC U+200D U+1F9BD,:woman_in_manual_wheelchair_medium-light_skin_tone:
🧑🏼‍🦽,U+1F9D1 U+1F3FC U+200D U+1F9BD,:person_in_manual_wheelchair_medium-light_skin_tone:
👨🏼‍🦽,U+1F468 U+1F3FC U+200D U+1F9BD,:man_in_manual_wheelchair_medium-light_skin_tone:
👩🏼‍🦼,U+1F469 U+1F3FC U+200D U+1F9BC,:woman_in_motorized_wheelchair_medium-light_skin_tone:
🧑🏼‍🦼,U+1F9D1 U+1F3FC U+200D U+1F9BC,:person_in_motorized_wheelchair_medium-light_skin_tone:
👨🏼‍🦼,U+1F468 U+1F3FC U+200D U+1F9BC,:man_in_motorized_wheelchair_medium-light_skin_tone:
🚶🏼‍♀️,U+1F6B6 U+1F3FC U+200D U+2640 U+FE0F,:woman_walking_medium-light_skin_tone:
🚶🏼,U+1F6B6 U+1F3FC,:person_walking_medium-light_skin_tone:
🚶🏼‍♂️,U+1F6B6 U+1F3FC U+200D U+2642 U+FE0F,:man_walking_medium-light_skin_tone:
👩🏼‍🦯,U+1F469 U+1F3FC U+200D U+1F9AF,:woman_with_white_cane_medium-light_skin_tone:
🧑🏼‍🦯,U+1F9D1 U+1F3FC U+200D U+1F9AF,:person_with_white_cane_medium-light_skin_tone:
👨🏼‍🦯,U+1F468 U+1F3FC U+200D U+1F9AF,:man_with_white_cane_medium-light_skin_tone:
🧎🏼‍♀️,U+1F9CE U+1F3FC U+200D U+2640 U+FE0F,:woman_kneeling_medium-light_skin_tone:
🧎🏼,U+1F9CE U+1F3FC,:person_kneeling_medium-light_skin_tone:
🧎🏼‍♂️,U+1F9CE U+1F3FC U+200D U+2642 U+FE0F,:man_kneeling_medium-light_skin_tone:
🏃🏼‍♀️,U+1F3C3 U+1F3FC U+200D U+2640 U+FE0F,:woman_running_medium-light_skin_tone:
🏃🏼,U+1F3C3 U+1F3FC,:person_running_medium-light_skin_tone:
🏃🏼‍♂️,U+1F3C3 U+1F3FC U+200D U+2642 U+FE0F,:man_running_medium-light_skin_tone:
🧍🏼‍♀️,U+1F9CD U+1F3FC U+200D U+2640 U+FE0F,:woman_standing_medium-light_skin_tone:
🧍🏼,U+1F9CD U+1F3FC,:person_standing_medium-light_skin_tone:
🧍🏼‍♂️,U+1F9CD U+1F3FC U+200D U+2642 U+FE0F,:man_standing_medium-light_skin_tone:
👭🏼,U+1F46D U+1F3FC,:women_holding_hands_medium-light_skin_tone:
🧑🏼‍🤝‍🧑🏼,U+1F9D1 U+1F3FC U+200D U+1F91D U+200D U+1F9D1 U+1F3FC,:people_holding_hands_medium-light_skin_tone:
👬🏼,U+1F46C U+1F3FC,:men_holding_hands_medium-light_skin_tone:
👫🏼,U+1F46B U+1F3FC,:woman_and_man_holding_hands_medium-light_skin_tone:
🧗🏼‍♀️,U+1F9D7 U+1F3FC U+200D U+2640 U+FE0F,:woman_climbing_medium-light_skin_tone:
🧗🏼,U+1F9D7 U+1F3FC,:person_climbing_medium-light_skin_tone:
🧗🏼‍♂️,U+1F9D7 U+1F3FC U+200D U+2642 U+FE0F,:man_climbing_medium-light_skin_tone:
🏇🏼,U+1F3C7 U+1F3FC,:horse_racing_medium-light_skin_tone:
🏂🏼,U+1F3C2 U+1F3FC,:snowboarder_medium-light_skin_tone:
🏌🏼‍♀️,U+1F3CC U+1F3FC U+200D U+2640 U+FE0F,:woman_golfing_medium-light_skin_tone:
🏌🏼,U+1F3CC U+1F3FC,:person_golfing_medium-light_skin_tone:
🏌🏼‍♂️,U+1F3CC U+1F3FC U+200D U+2642 U+FE0F,:man_golfing_medium-light_skin_tone:
🏄🏼‍♀️,U+1F3C4 U+1F3FC U+200D U+2640 U+FE0F,:woman_surfing_medium-light_skin_tone:
🏄🏼,U+1F3C4 U+1F3FC,:person_surfing_medium-light_skin_tone:
🏄🏼‍♂️,U+1F3C4 U+1F3FC U+200D U+2642 U+FE0F,:man_surfing_medium-light_skin_tone:
🚣🏼‍♀️,U+1F6A3 U+1F3FC U+200D U+2640 U+FE0F,:woman_rowing_boat_medium-light_skin_tone:
🚣🏼,U+1F6A3 U+1F3FC,:person_rowing_boat_medium-light_skin_tone:
🚣🏼‍♂️,U+1F6A3 U+1F3FC U+200D U+2642 U+FE0F,:man_rowing_boat_medium-light_skin_tone:
🏊🏼‍♀️,U+1F3CA U+1F3FC U+200D U+2640 U+FE0F,:woman_swimming_medium-light_skin_tone:
🏊🏼,U+1F3CA U+1F3FC,:person_swimming_medium-light_skin_tone:
🏊🏼‍♂️,U+1F3CA U+1F3FC U+200D U+2642 U+FE0F,:man_swimming_medium-light_skin_tone:
⛹🏼‍♀️,U+26F9 U+1F3FC U+200D U+2640 U+FE0F,:woman_bouncing_ball_medium-light_skin_tone:
⛹🏼,U+26F9 U+1F3FC,:person_bouncing_ball_medium-light_skin_tone:
⛹🏼‍♂️,U+26F9 U+1F3FC U+200D U+2642 U+FE0F,:man_bouncing_ball_medium-light_skin_tone:
🏋🏼‍♀️,U+1F3CB U+1F3FC U+200D U+2640 U+FE0F,:woman_lifting_weights_medium-light_skin_tone:
🏋🏼,U+1F3CB U+1F3FC,:person_lifting_weights_medium-light_skin_tone:
🏋🏼‍♂️,U+1F3CB U+1F3FC U+200D U+2642 U+FE0F,:man_lifting_weights_medium-light_skin_tone:
🚴🏼‍♀️,U+1F6B4 U+1F3FC U+200D U+2640 U+FE0F,:woman_biking_medium-light_skin_tone:
🚴🏼,U+1F6B4 U+1F3FC,:person_biking_medium-light_skin_tone:
🚴🏼‍♂️,U+1F6B4 U+1F3FC U+200D U+2642 U+FE0F,:man_biking_medium-light_skin_tone:
🚵🏼‍♀️,U+1F6B5 U+1F3FC U+200D U+2640 U+FE0F,:woman_mountain_biking_medium-light_skin_tone:
🚵🏼,U+1F6B5 U+1F3FC,:person_mountain_biking_medium-light_skin_tone:
🚵🏼‍♂️,U+1F6B5 U+1F3FC U+200D U+2642 U+FE0F,:man_mountain_biking_medium-light_skin_tone:
🤸🏼‍♀️,U+1F938 U+1F3FC U+200D U+2640 U+FE0F,:woman_cartwheeling_medium-light_skin_tone:
🤸🏼,U+1F938 U+1F3FC,:person_cartwheeling_medium-light_skin_tone:
🤸🏼‍♂️,U+1F938 U+1F3FC U+200D U+2642 U+FE0F,:man_cartwheeling_medium-light_skin_tone:
🤽🏼‍♀️,U+1F93D U+1F3FC U+200D U+2640 U+FE0F,:woman_playing_water_polo_medium-light_skin_tone:
🤽🏼,U+1F93D U+1F3FC,:person_playing_water_polo_medium-light_skin_tone:
🤽🏼‍♂️,U+1F93D U+1F3FC U+200D U+2642 U+FE0F,:man_playing_water_polo_medium-light_skin_tone:
🤾🏼‍♀️,U+1F93E U+1F3FC U+200D U+2640 U+FE0F,:woman_playing_handball_medium-light_skin_tone:
🤾🏼,U+1F93E U+1F3FC,:person_playing_handball_medium-light_skin_tone:
🤾🏼‍♂️,U+1F93E U+1F3FC U+200D U+2642 U+FE0F,:man_playing_handball_medium-light_skin_tone:
🤹🏼‍♀️,U+1F939 U+1F3FC U+200D U+2640 U+FE0F,:woman_juggling_medium-light_skin_tone:
🤹🏼,U+1F939 U+1F3FC,:person_juggling_medium-light_skin_tone:
🤹🏼‍♂️,U+1F939 U+1F3FC U+200D U+2642 U+FE0F,:man_juggling_medium-light_skin_tone:
🧘🏼‍♀️,U+1F9D8 U+1F3FC U+200D U+2640 U+FE0F,:woman_in_lotus_position_medium-light_skin_tone:
🧘🏼,U+1F9D8 U+1F3FC,:person_in_lotus_position_medium-light_skin_tone:
🧘🏼‍♂️,U+1F9D8 U+1F3FC U+200D U+2642 U+FE0F,:man_in_lotus_position_medium-light_skin_tone:
🛀🏼,U+1F6C0 U+1F3FC,:person_taking_bath_medium-light_skin_tone:
🛌🏼,U+1F6CC U+1F3FC,:person_in_bed_medium-light_skin_tone:
👋🏽,U+1F44B U+1F3FD,:waving_hand_medium_skin_tone:
🤚🏽,U+1F91A U+1F3FD,:raised_back_of_hand_medium_skin_tone:
🖐🏽,U+1F590 U+1F3FD,:hand_with_fingers_splayed_medium_skin_tone:
✋🏽,U+270B U+1F3FD,:raised_hand_medium_skin_tone:
🖖🏽,U+1F596 U+1F3FD,:vulcan_salute_medium_skin_tone:
👌🏽,U+1F44C U+1F3FD,:OK_hand_medium_skin_tone:
🤌🏽,U+1F90C U+1F3FD,:pinched_fingers_medium_skin_tone:
🤏🏽,U+1F90F U+1F3FD,:pinching_hand_medium_skin_tone:
✌🏽,U+270C U+1F3FD,:victory_hand_medium_skin_tone:
🤞🏽,U+1F91E U+1F3FD,:crossed_fingers_medium_skin_tone:
🫰🏽,U+1FAF0 U+1F3FD,:hand_with_index_finger_and_thumb_crossed_medium_skin_tone:
🤟🏽,U+1F91F U+1F3FD,:love-you_gesture_medium_skin_tone:
🤘🏽,U+1F918 U+1F3FD,:sign_of_the_horns_medium_skin_tone:
🤙🏽,U+1F919 U+1F3FD,:call_me_hand_medium_skin_tone:
🫵🏽,U+1FAF5 U+1F3FD,:index_pointing_at_the_viewer_medium_skin_tone:
🫱🏽,U+1FAF1 U+1F3FD,:rightwards_hand_medium_skin_tone:
🫲🏽,U+1FAF2 U+1F3FD,:leftwards_hand_medium_skin_tone:
🫸🏽,U+1FAF8 U+1F3FD,:rightwards_pushing_hand_medium_skin_tone:
🫷🏽,U+1FAF7 U+1F3FD,:leftwards_pushing_hand_medium_skin_tone:
🫳🏽,U+1FAF3 U+1F3FD,:palm_down_hand_medium_skin_tone:
🫴🏽,U+1FAF4 U+1F3FD,:palm_up_hand_medium_skin_tone:
👈🏽,U+1F448 U+1F3FD,:backhand_index_pointing_left_medium_skin_tone:
👉🏽,U+1F449 U+1F3FD,:backhand_index_pointing_right_medium_skin_tone:
👆🏽,U+1F446 U+1F3FD,:backhand_index_pointing_up_medium_skin_tone:
🖕🏽,U+1F595 U+1F3FD,:middle_finger_medium_skin_tone:
👇🏽,U+1F447 U+1F3FD,:backhand_index_pointing_down_medium_skin_tone:
☝🏽,U+261D U+1F3FD,:index_pointing_up_medium_skin_tone:
👍🏽,U+1F44D U+1F3FD,:thumbs_up_medium_skin_tone:
👎🏽,U+1F44E U+1F3FD,:thumbs_down_medium_skin_tone:
✊🏽,U+270A U+1F3FD,:raised_fist_medium_skin_tone:
👊🏽,U+1F44A U+1F3FD,:oncoming_fist_medium_skin_tone:
🤛🏽,U+1F91B U+1F3FD,:left-facing_fist_medium_skin_tone:
🤜🏽,U+1F91C U+1F3FD,:right-facing_fist_medium_skin_tone:
👏🏽,U+1F44F U+1F3FD,:clapping_hands_medium_skin_tone:
🫶🏽,U+1FAF6 U+1F3FD,:heart_hands_medium_skin_tone:
🙌🏽,U+1F64C U+1F3FD,:raising_hands_medium_skin_tone:
👐🏽,U+1F450 U+1F3FD,:open_hands_medium_skin_tone:
🤲🏽,U+1F932 U+1F3FD,:palms_up_together_medium_skin_tone:
🙏🏽,U+1F64F U+1F3FD,:folded_hands_medium_skin_tone:
✍🏽,U+270D U+1F3FD,:writing_hand_medium_skin_tone:
💅🏽,U+1F485 U+1F3FD,:nail_polish_medium_skin_tone:
🤳🏽,U+1F933 U+1F3FD,:selfie_medium_skin_tone:
💪🏽,U+1F4AA U+1F3FD,:flexed_biceps_medium_skin_tone:
🦵🏽,U+1F9B5 U+1F3FD,:leg_medium_skin_tone:
🦶🏽,U+1F9B6 U+1F3FD,:foot_medium_skin_tone:
👂🏽,U+1F442 U+1F3FD,:ear_medium_skin_tone:
🦻🏽,U+1F9BB U+1F3FD,:ear_with_hearing_aid_medium_skin_tone:
👃🏽,U+1F443 U+1F3FD,:nose_medium_skin_tone:
👶🏽,U+1F476 U+1F3FD,:baby_medium_skin_tone:
👧🏽,U+1F467 U+1F3FD,:girl_medium_skin_tone:
🧒🏽,U+1F9D2 U+1F3FD,:child_medium_skin_tone:
👦🏽,U+1F466 U+1F3FD,:boy_medium_skin_tone:
👩🏽,U+1F469 U+1F3FD,:woman_medium_skin_tone:
🧑🏽,U+1F9D1 U+1F3FD,:person_medium_skin_tone:
👨🏽,U+1F468 U+1F3FD,:man_medium_skin_tone:
👩🏽‍🦱,U+1F469 U+1F3FD U+200D U+1F9B1,:woman_medium_skin_tone_curly_hair:
🧑🏽‍🦱,U+1F9D1 U+1F3FD U+200D U+1F9B1,:person_medium_skin_tone_curly_hair:
👨🏽‍🦱,U+1F468 U+1F3FD U+200D U+1F9B1,:man_medium_skin_tone_curly_hair:
👩🏽‍🦰,U+1F469 U+1F3FD U+200D U+1F9B0,:woman_medium_skin_tone_red_hair:
🧑🏽‍🦰,U+1F9D1 U+1F3FD U+200D U+1F9B0,:person_medium_skin_tone_red_hair:
👨🏽‍🦰,U+1F468 U+1F3FD U+200D U+1F9B0,:man_medium_skin_tone_red_hair:
👱🏽‍♀️,U+1F471 U+1F3FD U+200D U+2640 U+FE0F,:woman_medium_skin_tone_blond_hair:
👱🏽,U+1F471 U+1F3FD,:person_medium_skin_tone_blond_hair:
👱🏽‍♂️,U+1F471 U+1F3FD U+200D U+2642 U+FE0F,:man_medium_skin_tone_blond_hair:
👩🏽‍🦳,U+1F469 U+1F3FD U+200D U+1F9B3,:woman_medium_skin_tone_white_hair:
🧑🏽‍🦳,U+1F9D1 U+1F3FD U+200D U+1F9B3,:person_medium_skin_tone_white_hair:
👨🏽‍🦳,U+1F468 U+1F3FD U+200D U+1F9B3,:man_medium_skin_tone_white_hair:
👩🏽‍🦲,U+1F469 U+1F3FD U+200D U+1F9B2,:woman_medium_skin_tone_bald:
🧑🏽‍🦲,U+1F9D1 U+1F3FD U+200D U+1F9B2,:person_medium_skin_tone_bald:
👨🏽‍🦲,U+1F468 U+1F3FD U+200D U+1F9B2,:man_medium_skin_tone_bald:
🧔🏽‍♀️,U+1F9D4 U+1F3FD U+200D U+2640 U+FE0F,:woman_medium_skin_tone_beard:
🧔🏽,U+1F9D4 U+1F3FD,:person_medium_skin_tone_beard:
🧔🏽‍♂️,U+1F9D4 U+1F3FD U+200D U+2642 U+FE0F,:man_medium_skin_tone_beard:
👵🏽,U+1F475 U+1F3FD,:old_woman_medium_skin_tone:
🧓🏽,U+1F9D3 U+1F3FD,:older_person_medium_skin_tone:
👴🏽,U+1F474 U+1F3FD,:old_man_medium_skin_tone:
👲🏽,U+1F472 U+1F3FD,:person_with_skullcap_medium_skin_tone:
👳🏽‍♀️,U+1F473 U+1F3FD U+200D U+2640 U+FE0F,:woman_wearing_turban_medium_skin_tone:
👳🏽,U+1F473 U+1F3FD,:person_wearing_turban_medium_skin_tone:
👳🏽‍♂️,U+1F473 U+1F3FD U+200D U+2642 U+FE0F,:man_wearing_turban_medium_skin_tone:
🧕🏽,U+1F9D5 U+1F3FD,:woman_with_headscarf_medium_skin_tone:
👮🏽‍♀️,U+1F46E U+1F3FD U+200D U+2640 U+FE0F,:woman_police_officer_medium_skin_tone:
👮🏽,U+1F46E U+1F3FD,:police_officer_medium_skin_tone:
👮🏽‍♂️,U+1F46E U+1F3FD U+200D U+2642 U+FE0F,:man_police_officer_medium_skin_tone:
👷🏽‍♀️,U+1F477 U+1F3FD U+200D U+2640 U+FE0F,:woman_construction_worker_medium_skin_tone:
