Emoji,Unicode,Description
☝️,U+261D U+FE0F,:index_pointing_up:
👍,U+1F44D,:thumbs_up:
👎,U+1F44E,:thumbs_down:
✊,U+270A,:raised_fist:
👊,U+1F44A,:oncoming_fist:
🤛,U+1F91B,:left-facing_fist:
🤜,U+1F91C,:right-facing_fist:
👏,U+1F44F,:clapping_hands:
🫶,U+1FAF6,:heart_hands:
🙌,U+1F64C,:raising_hands:
👐,U+1F450,:open_hands:
🤲,U+1F932,:palms_up_together:
🤝,U+1F91D,:handshake:
🙏,U+1F64F,:folded_hands:
✍️,U+270D U+FE0F,:writing_hand:
💅,U+1F485,:nail_polish:
🤳,U+1F933,:selfie:
💪,U+1F4AA,:flexed_biceps:
🦾,U+1F9BE,:mechanical_arm:
🦵,U+1F9B5,:leg:
🦿,U+1F9BF,:mechanical_leg:
🦶,U+1F9B6,:foot:
👣,U+1F463,:footprints:
👂,U+1F442,:ear:
🦻,U+1F9BB,:ear_with_hearing_aid:
👃,U+1F443,:nose:
🫀,U+1FAC0,:anatomical_heart:
🫁,U+1FAC1,:lungs:
🧠,U+1F9E0,:brain:
🦷,U+1F9B7,:tooth:
🦴,U+1F9B4,:bone:
👀,U+1F440,:eyes:
👁,U+1F441,:eye:
👅,U+1F445,:tongue:
👄,U+1F444,:mouth:
🫦,U+1FAE6,:biting_lip:
💋,U+1F48B,:kiss_mark:
🩸,U+1FA78,:drop_of_blood:
👶,U+1F476,:baby:
👧,U+1F467,:girl:
🧒,U+1F9D2,:child:
👦,U+1F466,:boy:
👩,U+1F469,:woman:
🧑,U+1F9D1,:person:
👨,U+1F468,:man:
👩‍🦱,U+1F469 U+200D U+1F9B1,:woman_curly_hair:
🧑‍🦱,U+1F9D1 U+200D U+1F9B1,:person_curly_hair:
👨‍🦱,U+1F468 U+200D U+1F9B1,:man_curly_hair:
👩‍🦰,U+1F469 U+200D U+1F9B0,:woman_red_hair:
🧑‍🦰,U+1F9D1 U+200D U+1F9B0,:person_red_hair:
👨‍🦰,U+1F468 U+200D U+1F9B0,:man_red_hair:
👱‍♀️,U+1F471 U+200D U+2640 U+FE0F,:woman_blond_hair:
👱,U+1F471,:person_blond_hair:
👱‍♂️,U+1F471 U+200D U+2642 U+FE0F,:man_blond_hair:
👩‍🦳,U+1F469 U+200D U+1F9B3,:woman_white_hair:
🧑‍🦳,U+1F9D1 U+200D U+1F9B3,:person_white_hair:
👨‍🦳,U+1F468 U+200D U+1F9B3,:man_white_hair:
👩‍🦲,U+1F469 U+200D U+1F9B2,:woman_bald:
🧑‍🦲,U+1F9D1 U+200D U+1F9B2,:person_bald:
👨‍🦲,U+1F468 U+200D U+1F9B2,:man_bald:
🧔‍♀️,U+1F9D4 U+200D U+2640 U+FE0F,:woman_beard:
🧔,U+1F9D4,:person_beard:
🧔‍♂️,U+1F9D4 U+200D U+2642 U+FE0F,:man_beard:
👵,U+1F475,:old_woman:
🧓,U+1F9D3,:older_person:
👴,U+1F474,:old_man:
👲,U+1F472,:person_with_skullcap:
👳‍♀️,U+1F473 U+200D U+2640 U+FE0F,:woman_wearing_turban:
👳,U+1F473,:person_wearing_turban:
👳‍♂️,U+1F473 U+200D U+2642 U+FE0F,:man_wearing_turban:
🧕,U+1F9D5,:woman_with_headscarf:
👮‍♀️,U+1F46E U+200D U+2640 U+FE0F,:woman_police_officer:
👮,U+1F46E,:police_officer:
👮‍♂️,U+1F46E U+200D U+2642 U+FE0F,:man_police_officer:
👷‍♀️,U+1F477 U+200D U+2640 U+FE0F,:woman_construction_worker:
👷,U+1F477,:construction_worker:
👷‍♂️,U+1F477 U+200D U+2642 U+FE0F,:man_construction_worker:
💂‍♀️,U+1F482 U+200D U+2640 U+FE0F,:woman_guard:
💂,U+1F482,:guard:
💂‍♂️,U+1F482 U+200D U+2642 U+FE0F,:man_guard:
🕵️‍♀️,U+1F575 U+FE0F U+200D U+2640 U+FE0F,:woman_detective:
🕵️,U+1F575 U+FE0F,:detective:
🕵️‍♂️,U+1F575 U+FE0F U+200D U+2642 U+FE0F,:man_detective:
👩‍⚕️,U+1F469 U+200D U+2695 U+FE0F,:woman_health_worker:
🧑‍⚕️,U+1F9D1 U+200D U+2695 U+FE0F,:health_worker:
👨‍⚕️,U+1F468 U+200D U+2695 U+FE0F,:man_health_worker:
👩‍🌾,U+1F469 U+200D U+1F33E,:woman_farmer:
🧑‍🌾,U+1F9D1 U+200D U+1F33E,:farmer:
👨‍🌾,U+1F468 U+200D U+1F33E,:man_farmer:
👩‍🍳,U+1F469 U+200D U+1F373,:woman_cook:
🧑‍🍳,U+1F9D1 U+200D U+1F373,:cook:
👨‍🍳,U+1F468 U+200D U+1F373,:man_cook:
👩‍🎓,U+1F469 U+200D U+1F393,:woman_student:
🧑‍🎓,U+1F9D1 U+200D U+1F393,:student:
👨‍🎓,U+1F468 U+200D U+1F393,:man_student:
👩‍🎤,U+1F469 U+200D U+1F3A4,:woman_singer:
🧑‍🎤,U+1F9D1 U+200D U+1F3A4,:singer:
👨‍🎤,U+1F468 U+200D U+1F3A4,:man_singer:
👩‍🏫,U+1F469 U+200D U+1F3EB,:woman_teacher:
🧑‍🏫,U+1F9D1 U+200D U+1F3EB,:teacher:
👨‍🏫,U+1F468 U+200D U+1F3EB,:man_teacher:
👩‍🏭,U+1F469 U+200D U+1F3ED,:woman_factory_worker:
🧑‍🏭,U+1F9D1 U+200D U+1F3ED,:factory_worker:
👨‍🏭,U+1F468 U+200D U+1F3ED,:man_factory_worker:
👩‍💻,U+1F469 U+200D U+1F4BB,:woman_technologist:
🧑‍💻,U+1F9D1 U+200D U+1F4BB,:technologist:
👨‍💻,U+1F468 U+200D U+1F4BB,:man_technologist:
👩‍💼,U+1F469 U+200D U+1F4BC,:woman_office_worker:
🧑‍💼,U+1F9D1 U+200D U+1F4BC,:office_worker:
👨‍💼,U+1F468 U+200D U+1F4BC,:man_office_worker:
👩‍🔧,U+1F469 U+200D U+1F527,:woman_mechanic:
🧑‍🔧,U+1F9D1 U+200D U+1F527,:mechanic:
👨‍🔧,U+1F468 U+200D U+1F527,:man_mechanic:
👩‍🔬,U+1F469 U+200D U+1F52C,:woman_scientist:
🧑‍🔬,U+1F9D1 U+200D U+1F52C,:scientist:
👨‍🔬,U+1F468 U+200D U+1F52C,:man_scientist:
👩‍🎨,U+1F469 U+200D U+1F3A8,:woman_artist:
🧑‍🎨,U+1F9D1 U+200D U+1F3A8,:artist:
👨‍🎨,U+1F468 U+200D U+1F3A8,:man_artist:
👩‍🚒,U+1F469 U+200D U+1F692,:woman_firefighter:
🧑‍🚒,U+1F9D1 U+200D U+1F692,:firefighter:
👨‍🚒,U+1F468 U+200D U+1F692,:man_firefighter:
👩‍✈️,U+1F469 U+200D U+2708 U+FE0F,:woman_pilot:
🧑‍✈️,U+1F9D1 U+200D U+2708 U+FE0F,:pilot:
👨‍✈️,U+1F468 U+200D U+2708 U+FE0F,:man_pilot:
👩‍🚀,U+1F469 U+200D U+1F680,:woman_astronaut:
🧑‍🚀,U+1F9D1 U+200D U+1F680,:astronaut:
👨‍🚀,U+1F468 U+200D U+1F680,:man_astronaut:
👩‍⚖️,U+1F469 U+200D U+2696 U+FE0F,:woman_judge:
🧑‍⚖️,U+1F9D1 U+200D U+2696 U+FE0F,:judge:
👨‍⚖️,U+1F468 U+200D U+2696 U+FE0F,:man_judge:
👰‍♀️,U+1F470 U+200D U+2640 U+FE0F,:woman_with_veil:
👰,U+1F470,:person_with_veil:
👰‍♂️,U+1F470 U+200D U+2642 U+FE0F,:man_with_veil:
🤵‍♀️,U+1F935 U+200D U+2640 U+FE0F,:woman_in_tuxedo:
🤵,U+1F935,:person_in_tuxedo:
🤵‍♂️,U+1F935 U+200D U+2642 U+FE0F,:man_in_tuxedo:
👸,U+1F478,:princess:
🫅,U+1FAC5,:person_with_crown:
🤴,U+1F934,:prince:
🥷,U+1F977,:ninja:
🦸‍♀️,U+1F9B8 U+200D U+2640 U+FE0F,:woman_superhero:
🦸,U+1F9B8,:superhero:
🦸‍♂️,U+1F9B8 U+200D U+2642 U+FE0F,:man_superhero:
🦹‍♀️,U+1F9B9 U+200D U+2640 U+FE0F,:woman_supervillain:
🦹,U+1F9B9,:supervillain:
🦹‍♂️,U+1F9B9 U+200D U+2642 U+FE0F,:man_supervillain:
🤶,U+1F936,:Mrs._Claus:
🧑‍🎄,U+1F9D1 U+200D U+1F384,:mx_claus:
🎅,U+1F385,:Santa_Claus:
🧙‍♀️,U+1F9D9 U+200D U+2640 U+FE0F,:woman_mage:
🧙,U+1F9D9,:mage:
🧙‍♂️,U+1F9D9 U+200D U+2642 U+FE0F,:man_mage:
🧝‍♀️,U+1F9DD U+200D U+2640 U+FE0F,:woman_elf:
🧝,U+1F9DD,:elf:
🧝‍♂️,U+1F9DD U+200D U+2642 U+FE0F,:man_elf:
🧛‍♀️,U+1F9DB U+200D U+2640 U+FE0F,:woman_vampire:
🧛,U+1F9DB,:vampire:
🧛‍♂️,U+1F9DB U+200D U+2642 U+FE0F,:man_vampire:
